Nr.,customerID,networkScore,influenceScore,NPSScore,customerLTV,sentimentScore,propensityScore,Salutation,thumbnail,Title,Name,Fullname,Last name,dob,Street,Postal Code,City,WikidataID,WikidataPlace,TelephoneNumber,CellphoneNumber,Telefax,E-Mail,Newsletter
11,511,2,88,3,6047,1,92,Herr,18,Prof.,Marc,Marc  Smith,Smith,1993-08-10,Soetenkamp 100,73345,Drackenstein,Q81158,http://www.wikidata.org/entity/Q81158,07335 / 43979275,0165 / 1502115,07335 / 57313287,m.smith@mail.xyz,yes
12,512,1,66,10,1673,2,61,Frau,54,Dr.,Philine,Philine  Wegener,Wegener,1969-06-13,Ölbergstr. 26a,89188,Merklingen,Q636077,http://www.wikidata.org/entity/Q636077,07337 / 60994218,0156 / 7562827,07337 / 87656681,p.wegener@mail.xyz,yes
13,513,5,77,1,6029,3,47,Herr,9,Dr.,Bennet,Bennet  Hügel,Hügel,1966-02-21,Weseler Str. 155,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,06244 / 41976075,0160 / 5196972,06244 / 5919272,bennet.huegel@mail.xyz,yes
14,514,3,56,7,9416,3,26,Frau,59,Dr.,Stefanie,Stefanie  Underwood,Underwood,1961-12-09,Marientalstr. 87,69234,Dielheim,Q81869,http://www.wikidata.org/entity/Q81869,06222 / 75795189,0163 / 5481632,06222 / 10979301,stefanie.underwood@mail.xyz,yes
15,515,1,88,10,3420,5,42,Frau,65,Dr.,Doris,Doris  Gill,Gill,1958-12-01,Teutonenstr. 149,55237,Bornheim,Q6852,http://www.wikidata.org/entity/Q6852,06734 / 20809055,0171 / 1083071,06734 / 83961434,doris.gill@mail.xyz,yes
16,516,1,14,7,1602,4,58,Frau,55,Dr.,Claudia,Claudia  Lohr,Lohr,1947-04-22,Düesbergweg 188,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,06227 / 70689587,0164 / 7513981,06227 / 22709462,claudia.lohr@mail.xyz,yes
17,517,2,38,9,1076,2,49,Frau,63,Dr.,Paulina,Paulina  Luna,Luna,1955-04-25,Augustastr. 46,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,0511 / 50354913,0175 / 7328648,0511 / 48592591,p.luna@mail.xyz,yes
18,518,4,55,6,3448,4,14,Frau,64,Dr.,Greta,Greta  Linder,Linder,1992-05-26,Dauvemühle 117,68782,Brühl,Q7036,http://www.wikidata.org/entity/Q7036,06202 / 77626609,0162 / 6777857,06202 / 83036523,greta.linder@mail.xyz,yes
19,519,2,1,5,5542,5,31,Frau,56,Dr.,Isabell,Isabell  Gaus,Gaus,1941-07-10,Oscar-Wilde-Str. 16,09125,München,Q1726,http://www.wikidata.org/entity/Q2795,0371 / 68837947,0161 / 1121531,0371 / 87156378,isabell.gaus@mail.xyz,yes
20,520,5,66,6,8973,5,22,Frau,57,Prof.,Helene,Helene  Kästner,Kästner,1998-05-01,Rottkamp 161,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,04154 / 73647575,0171 / 5045245,04154 / 23019985,helene.kaestner@mail.xyz,yes
21,521,5,59,2,8079,2,82,Herr,10,Prof.,Ben,Ben  Paulsen,Paulsen,1958-11-01,An den Mühlen 140,25485,Bilsen,Q264394,http://www.wikidata.org/entity/Q264394,04106 / 50166097,0170 / 9974537,04106 / 13563942,b.paulsen@mail.xyz,yes
22,522,2,97,5,6637,3,31,Herr,15,Dr.,Sam,Sam  Harvey,Harvey,1992-09-19,Hensenstr. 87,04860,Torgau,Q12062,http://www.wikidata.org/entity/Q12062,03421 / 58361932,0160 / 7861467,03421 / 43607788,sam.harvey@mail.xyz,yes
23,523,4,30,6,9254,3,58,Herr,6,Prof.,Olaf,Olaf  Löw,Löw,1973-09-10,Vorgebirgstr. 67,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,05844 / 9595746,0152 / 3076404,05844 / 63396150,olaf.loew@mail.xyz,yes
24,524,4,41,9,5614,5,53,Frau,56,Prof.,Jill,Jill  Hartmann,Hartmann,1944-10-14,Zur Gräfte 44,24326,Dersau,Q516091,http://www.wikidata.org/entity/Q516091,04522 / 46714436,0166 / 7391056,04522 / 63273860,jill.hartmann@mail.xyz,yes
25,525,1,29,7,8477,2,69,Frau,60,Prof.,Lilly,Lilly  Bähr,Bähr,1967-07-23,Osthuesheide 9,56729,Bermel,Q565292,http://www.wikidata.org/entity/Q565292,02651 / 60381765,0175 / 6012100,02651 / 40685432,lilly.baehr@mail.xyz,yes
26,526,4,7,10,7002,2,57,Frau,57,Dr.,Jaqueline,Jaqueline  Dunn,Dunn,1966-03-27,Hansaring 189,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,02692 / 57973679,0170 / 8379791,02692 / 44271210,j.dunn@mail.xyz,yes
27,527,2,11,2,3827,5,85,Herr,15,Dr.,Thomas,Thomas  Schnell,Schnell,1944-02-18,Salzmannstr. 111,29413,Dähre,Q551932,http://www.wikidata.org/entity/Q551932,03902 / 74995571,0172 / 9326055,03902 / 93428271,t.schnell@mail.xyz,yes
28,528,1,92,2,1903,5,9,Herr,11,Dr.,Kristof,Kristof  Claus,Claus,1943-03-02,Hahnenstr. 52,53840,Troisdorf,Q3900,http://www.wikidata.org/entity/Q3900,02241 / 17727014,0160 / 2958324,02241 / 31743374,k.claus@mail.xyz,yes
29,529,2,54,1,751,1,73,Frau,64,Dr.,Christin,Christin  Edler,Edler,1938-02-01,Avendruper Str. 53,66869,Ruthweiler,Q641403,http://www.wikidata.org/entity/Q641403,06381 / 58092995,0150 / 8003175,06381 / 74134451,c.edler@mail.xyz,yes
30,530,5,55,6,2901,4,51,Herr,16,Dr.,Julien,Julien  Hansen,Hansen,1939-03-05,Albachtener Str. 68,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,04522 / 37102709,0177 / 5499982,04522 / 49536141,julien.hansen@mail.xyz,yes
31,531,1,64,4,5861,2,52,Herr,17,Dr.,Nic,Nic  Hanisch,Hanisch,1956-03-19,Erikahof 175,96365,Nordhalben,Q505015,http://www.wikidata.org/entity/Q505015,09267 / 98077312,0171 / 5638392,09267 / 44634483,n.hanisch@mail.xyz,yes
32,532,1,92,6,6903,1,46,Herr,10,Dr.,Kian,Kian  Sahin,Sahin,1941-09-10,Raesfeldstr. 34,24640,Hasenmoor,Q558121,http://www.wikidata.org/entity/Q558121,04191 / 75629853,0151 / 7159758,04191 / 50515358,kian.sahin@mail.xyz,yes
33,533,1,77,9,1582,1,6,Frau,56,Prof.,Doris,Doris  Helm,Helm,1982-05-23,Rüschhausweg 137,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,09105 / 19455348,0160 / 7556707,09105 / 84350141,d.helm@mail.xyz,yes
34,534,1,84,4,8601,3,88,Herr,13,Prof.,Wolfgang,Wolfgang  Klaus,Klaus,1986-09-12,Oscar-Wilde-Str. 158,29323,Wietze,Q574367,http://www.wikidata.org/entity/Q574367,05146 / 75287790,0156 / 2045873,05146 / 86895907,w.klaus@mail.xyz,yes
35,535,1,93,5,552,2,28,Frau,65,Dr.,Karoline,Karoline  Uhlenbrock,Uhlenbrock,1955-04-01,Baumberger Str. 149,23714,Malente,Q522056,http://www.wikidata.org/entity/Q522056,04523 / 57768294,0172 / 6192148,04523 / 42344213,karoline.uhlenbrock@mail.xyz,yes
36,536,4,91,6,3640,1,96,Herr,1,Dr.,Bernhard,Bernhard  Falke,Falke,1961-06-26,Norbertstr. 97,92265,Edelsfeld,Q520907,http://www.wikidata.org/entity/Q520907,09665 / 98728326,0179 / 6244157,09665 / 41000111,b.falke@mail.xyz,yes
37,537,2,36,2,4298,5,8,Frau,60,Dr.,Birgit,Birgit  Nunez,Nunez,1980-11-07,Im Draum 198,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,06663 / 3380493,0178 / 9518873,06663 / 83997177,b.nunez@mail.xyz,yes
38,538,1,39,3,6168,5,55,Frau,55,Prof.,Juli,Juli  Eibl,Eibl,1964-11-12,Am Filk 200,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,03464 / 27053600,0156 / 4981519,03464 / 57014921,juli.eibl@mail.xyz,yes
39,539,2,6,1,7397,5,31,Herr,4,Prof.,Jeremy,Jeremy  Schade,Schade,1993-09-01,Sanddornweg 9,83071,Stephanskirchen,Q532986,http://www.wikidata.org/entity/Q532986,08036 / 4261838,0177 / 3129902,08036 / 62052135,jeremy.schade@mail.xyz,yes
40,540,4,25,3,4560,1,60,Herr,1,Prof.,Bennet,Bennet  Schröder,Schröder,1983-07-24,Tondernstr. 32,76829,Landau in der Pfalz,Q7052,http://www.wikidata.org/entity/Q7052,06341 / 78805758,0150 / 5161553,06341 / 92137985,b.schroeder@mail.xyz,yes
41,541,4,19,6,6232,1,78,Frau,63,Dr.,Frida,Frida  Gessler,Gessler,1984-06-23,Dodostr. 6,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,03622 / 92242752,0155 / 7897575,03622 / 76898226,f.gessler@mail.xyz,yes
42,542,4,24,4,2941,5,41,Frau,52,Dr.,Svea,Svea  Jagd,Jagd,1967-09-19,Zur Gräfte 138,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,02628 / 78539843,0168 / 5892091,02628 / 72367507,s.jagd@mail.xyz,yes
43,543,4,13,3,5854,1,82,Herr,18,Dr.,Mark,Mark  Kaufmann,Kaufmann,1970-09-06,Erikahof 175,26904,Börger,Q506862,http://www.wikidata.org/entity/Q506862,05953 / 23244886,0179 / 2790750,05953 / 67644231,m.kaufmann@mail.xyz,yes
44,544,4,4,1,1577,1,1,Frau,59,Dr.,Sophia,Sophia  Sachs,Sachs,1989-09-19,Norbertstr. 15,27404,"Seedorf, Lower Saxony",Q502111,http://www.wikidata.org/entity/Q502111,04284 / 58155843,0157 / 1637417,04284 / 76391712,s.sachs@mail.xyz,yes
45,545,2,90,3,1075,2,93,Frau,65,Dr.,Regina,Regina  Stahlgruber,Stahlgruber,1935-03-17,Lassallestr. 35a,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,06752 / 56188574,0162 / 2444372,06752 / 13279696,regina.stahlgruber@mail.xyz,yes
46,546,5,91,2,1476,5,71,Herr,5,Dr.,Leandro,Leandro  Scheerer,Scheerer,1948-10-03,Stettiner Str. 107,45257,Essen,Q2066,http://www.wikidata.org/entity/Q2066,0201 / 74610929,0162 / 1472436,0201 / 81183484,l.scheerer@mail.xyz,yes
47,547,5,29,3,529,5,61,Herr,6,Dr.,Erich,Erich  Unger,Unger,1982-12-01,Bernhard-Poether-Str. 154,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,0911 / 87523714,0171 / 2087027,0911 / 85134677,erich.unger@mail.xyz,yes
48,548,3,70,5,3654,2,93,Frau,52,Dr.,Dana,Dana  Derksen,Derksen,1957-05-05,Gremmendorfer Weg 38,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,07961 / 62503540,0161 / 5869123,07961 / 83549495,d.derksen@mail.xyz,yes
49,549,4,62,2,8394,5,88,Herr,6,Dr.,Mathias,Mathias  Riess,Riess,1956-08-08,Von-Holte-Str. 13,87746,Erkheim,Q547152,http://www.wikidata.org/entity/Q547152,08336 / 45291905,0178 / 5896111,08336 / 64290978,m.riess@mail.xyz,yes
50,550,2,73,3,669,4,58,Frau,58,Dr.,Johanna,Johanna  Strobel,Strobel,1947-01-09,Piusstr. 199,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,06135 / 15579673,0169 / 9164994,06135 / 46658698,johanna.strobel@mail.xyz,yes
51,551,5,26,7,6043,5,20,Frau,61,Dr.,Finja,Finja  Lippert,Lippert,1994-03-10,Zum Guten Hirten 185,17440,Sauzin,Q636939,http://www.wikidata.org/entity/Q636939,03836 / 7867659,0169 / 9157278,03836 / 7838944,finja.lippert@mail.xyz,yes
52,552,3,61,9,2374,1,69,Herr,10,Dr.,Yannis,Yannis  Veit,Veit,1939-07-24,Rohrkampstr. 80,73579,Schechingen,Q550773,http://www.wikidata.org/entity/Q550773,07175 / 38559912,0166 / 8893350,07175 / 38783422,y.veit@mail.xyz,yes
53,553,3,6,7,99,2,29,Frau,60,Dr.,Amely,Amely  Kruse,Kruse,1933-09-22,Am Pulverschuppen 72,47198,Homberg (Efze),Q558616,http://www.wikidata.org/entity/Q558616,02066 / 45741503,0163 / 5746326,02066 / 38362192,amely.kruse@mail.xyz,yes
54,554,2,56,8,2570,5,100,Frau,53,Dr.,Catharina,Catharina  Wienecke,Wienecke,1950-05-08,Hermann-Treff-Weg 105a,96197,Wonsees,Q503602,http://www.wikidata.org/entity/Q503602,09274 / 98915437,0156 / 4643596,09274 / 93449378,catharina.wienecke@mail.xyz,yes
55,555,5,99,3,8888,5,30,Frau,60,Dr.,Lili,Lili  Brose,Brose,1965-08-08,Dammstr. 182,86154,Augsburg,Q2749,http://www.wikidata.org/entity/Q2749,0821 / 79074844,0155 / 8973114,0821 / 62460008,lili.brose@mail.xyz,yes
56,556,5,24,10,2608,1,10,Herr,12,Dr.,Till,Till  David,David,1971-12-17,Gasselstiege 56,27419,Groß Meckelsen,Q504731,http://www.wikidata.org/entity/Q504731,04282 / 49589710,0165 / 4577134,04282 / 34206083,till.david@mail.xyz,yes
57,557,2,13,1,2857,1,36,Herr,11,Dr.,Klaas,Klaas  Ferguson,Ferguson,1935-04-07,Heisstr. 132,66919,Hettenhausen,Q566732,http://www.wikidata.org/entity/Q566732,06375 / 92047450,0163 / 5525747,06375 / 86277428,k.ferguson@mail.xyz,yes
58,558,3,10,3,9313,3,77,Herr,18,Dr.,Sam,Sam  Knight,Knight,1940-10-18,Zur Gräfte 103,77972,Mahlberg,Q532167,http://www.wikidata.org/entity/Q532167,07825 / 858821,0179 / 5274244,07825 / 58974950,s.knight@mail.xyz,yes
59,559,4,67,9,7325,5,53,Frau,64,Dr.,Joana,Joana  Bader,Bader,1972-01-28,Kempener Str. 133,56357,Dessighofen,Q552335,http://www.wikidata.org/entity/Q552335,02604 / 40380418,0168 / 5960329,02604 / 52363492,j.bader@mail.xyz,yes
60,560,5,17,6,1006,3,17,Herr,4,Dr.,Meik,Meik  Francis,Francis,1976-11-19,Raesfeldstr. 110,79692,Sallneck,,,07629 / 43302833,0157 / 4465259,07629 / 66497735,m.francis@mail.xyz,yes
61,561,4,2,10,6166,2,42,Frau,51,Dr.,Inga,Inga  Rosenkranz,Rosenkranz,1931-09-15,Offerkämpe 189,99130,Dannheim,,,03628 / 99930860,0166 / 9109291,03628 / 65122036,inga.rosenkranz@mail.xyz,yes
62,562,4,5,10,8513,3,85,Herr,10,Dr.,Dirk,Dirk  Seeberger,Seeberger,1975-01-02,Neusser Str. 53,13469,Wittenau,Q10276235,http://www.wikidata.org/entity/Q10276235,030 / 24631641,0179 / 1902670,030 / 13299363,dirk.seeberger@mail.xyz,yes
63,563,4,56,5,635,5,5,Frau,55,Prof.,Sophie,Sophie  Maier,Maier,1931-02-17,Gasselstiege 42,85247,Schwabhausen,Q61851,http://www.wikidata.org/entity/Q61851,08138 / 5894206,0174 / 8189797,08138 / 7533455,sophie.maier@mail.xyz,yes
64,564,3,31,6,9841,2,15,Herr,6,Dr.,Malte,Malte  Schreier,Schreier,1985-01-08,Innsbruckweg 128,27211,Bassum,Q501865,http://www.wikidata.org/entity/Q501865,04241 / 97585038,0162 / 2482414,04241 / 47589828,m.schreier@mail.xyz,yes
65,565,4,15,5,8147,4,88,Frau,57,Dr.,Tabea,Tabea  Pütz,Pütz,1988-04-17,Zur Gräfte 4,73447,Oberkochen,Q521397,http://www.wikidata.org/entity/Q521397,07364 / 4763228,0161 / 4407625,07364 / 55379845,t.puetz@mail.xyz,yes
66,566,5,71,8,3532,5,38,Frau,56,Dr.,Louisa,Louisa  Ewald,Ewald,1953-01-22,Gustav-Tweer-Weg 185,87545,Burgberg im Allgäu,Q528562,http://www.wikidata.org/entity/Q528562,08321 / 53320831,0173 / 5488134,08321 / 25854022,l.ewald@mail.xyz,yes
67,567,5,93,9,5879,2,95,Herr,13,Dr.,Fritz,Fritz  Lohse,Lohse,1936-10-06,An den Weiden 164,56377,Schweighausen,Q513462,http://www.wikidata.org/entity/Q513462,02604 / 23450852,0167 / 2294849,02604 / 84414614,fritz.lohse@mail.xyz,yes
68,568,3,47,6,7466,4,76,Herr,10,Dr.,Jona,Jona  Kaczmarek,Kaczmarek,1955-06-18,Landoisstr. 126,73733,Esslingen am Neckar,Q3786,http://www.wikidata.org/entity/Q3786,0711 / 60295136,0152 / 7548524,0711 / 91883743,jona.kaczmarek@mail.xyz,yes
69,569,3,17,4,4984,2,65,Herr,18,Dr.,Jan,Jan  Pohl,Pohl,1924-06-10,Am Getterbach 141,24790,Schacht-Audorf,Q651052,http://www.wikidata.org/entity/Q651052,04331 / 7990924,0158 / 3830182,04331 / 6593533,j.pohl@mail.xyz,yes
70,570,3,79,3,7073,1,42,Frau,55,Dr.,Zoe,Zoe  Eckl,Eckl,1952-07-05,Jägerstr. A 77,70372,Stuttgart,Q1022,http://www.wikidata.org/entity/Q1022,0711 / 53392335,0162 / 2612712,0711 / 86097235,zoe.eckl@mail.xyz,yes
71,571,2,57,1,3757,5,42,Herr,12,Dr.,Bastian,Bastian  Vaupel,Vaupel,1995-12-22,Kochwiesenstr. 40,53547,Roßbach,Q581574,http://www.wikidata.org/entity/Q581574,02638 / 2289682,0153 / 2385187,02638 / 61299802,b.vaupel@mail.xyz,yes
72,572,2,17,6,9564,1,28,Frau,52,Dr.,Céline,Céline  Sahm,Sahm,1920-11-24,Olpener Str. 100,22885,Barsbüttel,Q629424,http://www.wikidata.org/entity/Q629424,040 / 83275321,0169 / 3383765,040 / 54054869,c.sahm@mail.xyz,yes
73,573,1,46,4,5362,4,94,Herr,16,Dr.,Justin,Justin  Fendt,Fendt,1984-03-08,Dreizehnerstr. 183,23795,Klein Gladebrügge,Q544126,http://www.wikidata.org/entity/Q544126,04551 / 18893557,0167 / 7661167,04551 / 47727005,justin.fendt@mail.xyz,yes
74,574,1,90,6,2701,1,9,Herr,11,Dr.,Finn,Finn  Henrich,Henrich,1945-08-17,Klinkkampweg 124,96190,Untermerzbach,Q504990,http://www.wikidata.org/entity/Q504990,09533 / 46722631,0174 / 3691249,09533 / 15994102,f.henrich@mail.xyz,yes
75,575,1,73,4,5109,1,36,Frau,62,Dr.,Alina,Alina  Schwarz,Schwarz,1938-12-14,Mondstr. 102,12526,Treptow-Köpenick,,,030 / 16822547,0165 / 5092324,030 / 99574817,alina.schwarz@mail.xyz,yes
76,576,5,18,6,7251,2,30,Herr,12,Dr.,Wolfgang,Wolfgang  Rose,Rose,1931-01-09,Christinastr. 140,91207,Lauf an der Pegnitz,Q504334,http://www.wikidata.org/entity/Q504334,09123 / 67428126,0178 / 6995617,09123 / 43946628,wolfgang.rose@mail.xyz,yes
77,577,3,27,9,8274,2,55,Frau,57,Dr.,Joelina,Joelina  Hanisch,Hanisch,1946-07-24,Marderweg 134,24594,Nindorf,Q524443,http://www.wikidata.org/entity/Q524443,04871 / 50757831,0161 / 2372865,04871 / 29052374,joelina.hanisch@mail.xyz,yes
78,578,2,99,7,9129,1,40,Frau,53,Dr.,Angelina,Angelina  Octomedia,Octomedia,1967-10-25,Weserstr. 96,23758,Wangels,Q526784,http://www.wikidata.org/entity/Q526784,04382 / 22000342,0155 / 2973860,04382 / 55851055,angelina.octomedia@mail.xyz,yes
79,579,4,0,9,6114,3,33,Frau,56,Dr.,Marah,Marah  Himmelsbach,Himmelsbach,1956-02-09,Sanddornweg 21,55767,Kronweiler,Q641952,http://www.wikidata.org/entity/Q641952,06787 / 68011065,0151 / 8610624,06787 / 87652224,marah.himmelsbach@mail.xyz,yes
80,580,3,75,7,9113,1,4,Herr,16,Dr.,Frederic,Frederic  Jung,Jung,1924-10-12,Lassallestr. 62,54422,Züsch,Q248830,http://www.wikidata.org/entity/Q248830,06503 / 79664560,0165 / 6660048,06503 / 679775,frederic.jung@mail.xyz,yes
81,581,4,51,5,1136,3,99,Frau,59,Dr.,Hannah,Hannah  Langen,Langen,1922-04-11,Schmeddingstr. 188,73277,Owen,Q81006,http://www.wikidata.org/entity/Q81006,07021 / 97479866,0173 / 2749269,07021 / 19206743,h.langen@mail.xyz,yes
82,582,2,51,3,6320,1,39,Frau,60,Prof.,Eileen,Eileen  Grau,Grau,1941-09-04,Steinfurter Str. 98,87545,Burgberg im Allgäu,Q528562,http://www.wikidata.org/entity/Q528562,08321 / 21785985,0158 / 9452767,08321 / 19523776,e.grau@mail.xyz,yes
83,583,2,13,2,3396,1,78,Herr,10,Prof.,Holger,Holger  Mayr,Mayr,1922-12-20,Eifelstr. 194,86609,Donauwörth,Q53742,http://www.wikidata.org/entity/Q53742,0906 / 81541389,0165 / 6500716,0906 / 2371114,h.mayr@mail.xyz,yes
84,584,1,17,6,4267,1,27,Herr,10,Prof.,Siegfried,Siegfried  Groth,Groth,1944-08-05,Meinertzstr. 73,66693,Mettlach,Q543627,http://www.wikidata.org/entity/Q543627,06864 / 52032030,0158 / 6760459,06864 / 61278257,siegfried.groth@mail.xyz,yes
85,585,5,1,5,5258,5,25,Frau,64,Dr.,Waltraut,Waltraut  Strahl,Strahl,1938-07-07,Oscar-Wilde-Str. 170,25582,Looft,Q635123,http://www.wikidata.org/entity/Q635123,04892 / 58603139,0150 / 8481046,04892 / 61572481,w.strahl@mail.xyz,yes
86,586,4,68,7,842,1,89,Herr,6,Dr.,Ullrich,Ullrich  Lynchen,Lynchen,2000-02-01,Offerkämpe 122a,54646,Olsdorf,Q541226,http://www.wikidata.org/entity/Q541226,06561 / 94232682,0173 / 9946917,06561 / 95640968,ullrich.lynchen@mail.xyz,yes
87,587,1,36,2,9838,4,19,Herr,6,Prof.,Thorben,Thorben  Kehrer,Kehrer,1968-06-09,Hacklenburg 22,68649,Groß-Rohrheim,Q970081,http://www.wikidata.org/entity/Q970081,06245 / 19465089,0159 / 8327259,06245 / 12146875,thorben.kehrer@mail.xyz,yes
88,588,4,26,6,2703,5,81,Frau,61,Prof.,Victoria,Victoria  Marsh,Marsh,1933-06-23,Kerßenbrockstr. 57,20088,Hamburg,Q1055,http://www.wikidata.org/entity/Q1055,040 / 52957822,0177 / 6141454,040 / 54876579,v.marsh@mail.xyz,yes
89,589,2,23,7,7411,3,65,Frau,62,Dr.,Ulrike,Ulrike  Ziegler,Ziegler,1978-04-23,Hülsebrockstr. 110,34359,Reinhardshagen,Q625239,http://www.wikidata.org/entity/Q625239,05544 / 19104790,0175 / 9530866,05544 / 8988066,ulrike.ziegler@mail.xyz,yes
90,590,4,59,1,267,2,13,Frau,58,Dr.,Svea,Svea  Schreiber,Schreiber,1960-02-16,Templerweg 16,72270,Baiersbronn,Q81241,http://www.wikidata.org/entity/Q81241,07442 / 8061905,0162 / 8615652,07442 / 51332320,svea.schreiber@mail.xyz,yes
91,591,5,66,1,8165,5,97,Frau,62,Dr.,Emily,Emily  Johnston,Johnston,1925-07-19,Liboristr. 157,87742,Dirlewang,Q548510,http://www.wikidata.org/entity/Q548510,08267 / 54210173,0154 / 1567854,08267 / 10674777,e.johnston@mail.xyz,yes
92,592,2,10,5,7274,1,31,Frau,64,Dr.,Ivonne,Ivonne  Robbins,Robbins,1960-05-10,Sentmaringer Weg 10a,21683,Stade,Q6949,http://www.wikidata.org/entity/Q6949,04141 / 70778052,0163 / 8098550,04141 / 32147068,ivonne.robbins@mail.xyz,yes
93,593,3,81,7,9514,2,85,Frau,54,Dr.,Ruth,Ruth  Wehr,Wehr,1929-06-03,Am Blütenhain 141,56414,Zehnhausen,Q184632,http://www.wikidata.org/entity/Q184632,06435 / 68951075,0176 / 2562643,06435 / 23553986,r.wehr@mail.xyz,yes
94,594,1,34,5,2871,5,86,Frau,57,Dr.,Sofie,Sofie  Katrin,Katrin,1973-04-24,Kochwiesenstr. 24,54426,Malborn,Q569220,http://www.wikidata.org/entity/Q569220,06504 / 5945949,0160 / 8103295,06504 / 47304060,sofie.katrin@mail.xyz,yes
95,595,4,38,6,2148,4,89,Frau,58,Dr.,Nina,Nina  Lynchen,Lynchen,1948-06-28,Mondstr. 77,45327,Essen,Q2066,http://www.wikidata.org/entity/Q2066,0201 / 6834120,0173 / 9593057,0201 / 53091881,nina.lynchen@mail.xyz,yes
96,596,3,6,8,8985,1,14,Frau,52,Dr.,Nadine,Nadine  Sachs,Sachs,1928-12-24,Königsberger Str. 18,02785,Olbersdorf,Q502559,http://www.wikidata.org/entity/Q502559,03583 / 64796502,0161 / 9263852,03583 / 7113943,n.sachs@mail.xyz,yes
